photo_id	photo_keyword	ai_service_1_confidence	ai_service_2_confidence	suggested_by_user	hex	red	green	blue	color_keyword	coverage	score
EH0fgjYXQYM	dog	98.7226715087891	98.7620711326599	f	747D37	116	125	55	olivedrab	0.166999995708466	0.232191666960716
4rezxlfTrGA	dog	98.670539855957	99.5370507240295	t	976F60	151	111	96	gray	0.0416666679084301	0.184544757008553
7Za7c7F-2eM	dog	98.4534912109375	98.3325123786926	t	E7E4E8	231	228	232	gainsboro	0.27140000462532	0.521032154560089
Xg2hPPvpeSU	dog	98.4496536254883	99.5370507240295	f	CFBEA4	207	190	164	tan	0.0552188567817211	0.074179582297802
mtMFJz071Cs	dog	98.4413146972656	93.107944726944	f	BCBFC9	188	191	201	silver	0.0983333364129066	0.183233961462975
gCVk-NOhp6A	dog	98.3805770874023	97.6646780967712	t	432F20	67	47	32	darkslategray	0.0434666648507118	0.223824515938759
HQoVGoS12WI	dog	98.3501586914062	99.5370507240295	t	717A80	113	122	128	gray	0.0785999968647957	0.214028626680374
2fpOAxv9SEk	dog	98.309944152832	98.7620711326599	t	273645	39	54	69	darkslategray	0.112133331596851	0.241053238511086
O4TscN7RnSc	dog	98.2574691772461	98.3325123786926	t	D1C1AF	209	193	175	silver	0.0364000014960766	0.35789754986763
xfLHmmDpqNk	dog	98.2277069091797	99.5370507240295	t	E5E3F0	229	227	240	lavender	0.0458000004291534	0.240584641695023
pu5KYD0Z72I	cat	98.1734390258789	99.4133174419403	t	63503B	99	80	59	darkolivegreen	0.0763999968767166	0.25067737698555
48SnjzmkxDI	dog	98.1085586547852	99.5370507240295	f	7D4920	125	73	32	saddlebrown	0.0626666694879532	0.0902591124176979
Vf7pS1ER5Pg	cat	98.0945129394531	99.1504430770874	f	E7EBEC	231	235	236	lavender	0.0530666671693325	0.29295089840889
naNvHend-ZM	cat	98.0662002563477	99.4271576404572	t	9B9E9B	155	158	155	darkgray	0.110444441437721	0.188943147659302
jSopseYx3BY	cat	97.8754119873047	99.5985567569733	t	DFE1E6	223	225	230	gainsboro	0.0566000007092953	0.244879469275475
qEO5MpLyOks	dog	97.8591461181641	99.5370507240295	t	1D1615	29	22	21	black	0.0910666659474373	0.32439112663269
